Laptop Name,Link
"ASUS ROG Zephyrus S15 GX502
Processor
Intel Core i7-10875H
Internal memory
32GB RAM
Video card
NVIDIA GeForce RTX 2080 SUPER Max-Q
Display
15.6”, Full HD (1920 x 1080), 300 Hz, IPS
Solid-state drive
1000GB SSD
₹324990-28%
₹23499000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-rog-zephyrus-s15-gx502-74/
"ASUS Vivobook 17 M712
Processor
AMD Ryzen 5 3500U
Internal memory
8GB RAM
Video card
AMD Radeon RX Vega 8 (R2000/3000, 15W)
Display
17.3”, Full HD (1920 x 1080), IPS
Hard drive
1000GB HDD
Solid-state drive
256GB SSD
₹74990-36%
₹4848700
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-vivobook-17-m712-242/
"Lenovo Legion 7 15
Processor
Intel Core i7-10875H
Internal memory
16GB RAM
Video card
NVIDIA GeForce RTX 2080 SUPER Max-Q (90W)
Display
15.6”, Full HD (1920 x 1080), 144 Hz, IPS
Solid-state drive
1000GB SSD
₹279890-43%
₹15999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-legion-7-15-42/
"Lenovo IdeaPad Gaming 3i 15
Processor
Intel Core i5-10300H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 (Laptop, 50W)
Display
15.6”, Full HD (1920 x 1080), IPS
Hard drive
1000GB HDD
₹7899000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-gaming-3i-15-9/
"ASUS VivoBook 14 X413
Processor
Intel Core i3-1005G1
Internal memory
4GB RAM
Video card
Intel UHD Graphics G1
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹49990-23%
₹3899000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-vivobook-14-x413-19/
"HP 245 G7
Processor
AMD Ryzen 5 3500U
Internal memory
8GB RAM
Video card
AMD Radeon RX Vega 8 (R2000/3000, 15W)
Display
14.0”, HD (1366 x 768), TN
Hard drive
1000GB HDD
₹4026400
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/hp-245-g7-4/
"ASUS VivoBook 14 X413
Processor
Intel Core i5-1135G7
Internal memory
8GB RAM
Video card
NVIDIA GeForce MX330 (2GB GDDR5, 25W)
Display
14.0”, Full HD (1920 x 1080), TN
Solid-state drive
512GB SSD
₹79990-31%
₹5524100
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-vivobook-14-x413-14/
"Apple MacBook Air 13 (2020)
Processor
Intel Core i5-1030NG7
Internal memory
8GB RAM
Video card
Intel Iris Plus Graphics G7
Display
13.3”, WQXGA (2560 x 1600), IPS
Solid-state drive
512GB SSD
₹122990-11%
₹10999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/apple-macbook-air-13-2020-4/
"MSI Summit E15
Processor
Intel Core i7-1185G7
Internal memory
16GB RAM
Video card
NVIDIA GeForce GTX 1650 Ti Max-Q
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
1000GB SSD
₹156990-2%
₹15499000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/msi-summit-e15-47/
"ASUS VivoBook 14
Processor
Intel Core i3-1005G1
Internal memory
8GB RAM
Video card
Intel UHD Graphics G1
Display
14.0”, Full HD (1920 x 1080), TN
Hard drive
1000GB HDD
Solid-state drive
128GB SSD
₹51990-41%
₹3089000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-vivobook-14-6/
"Lenovo ThinkPad E15 Gen 2
Processor
Intel Core i5-1135G7
Internal memory
8GB RAM
Video card
Intel Iris Xe Graphics G7 (80EU)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹75879-14%
₹6599000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-thinkpad-e15-gen-2-94/
"MSI GF63 Thin
Processor
Intel Core i5-9300H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 Ti Max-Q
Display
15.6”, Full HD (1920 x 1080), IPS
Hard drive
1000GB HDD
₹67990-9%
₹6219000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/msi-gf63-thin-106/
"Lenovo ThinkPad E15 Gen 2
Processor
Intel Core i3-1115G4
Internal memory
4GB RAM
Video card
Intel Iris Xe Graphics G4
Display
15.6”, Full HD (1920 x 1080), TN
Solid-state drive
256GB SSD
₹59900-17%
₹4999900
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-thinkpad-e15-gen-2-91/
"Lenovo IdeaPad 3 15
Processor
Intel Core i5-1035G1
Internal memory
8GB RAM
Video card
Intel UHD Graphics G1
Display
15.6”, Full HD (1920 x 1080), TN
Hard drive
1000GB HDD
₹63790-32%
₹4399000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-3-15-1231/
"Dell Inspiron 3511
Processor
Intel Core i5-1135G7
Internal memory
8GB RAM
Video card
Intel Iris Xe Graphics G7 (80EU)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
256GB SSD
₹74752-28%
₹5399000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-inspiron-3511-111/
"HP Pavilion Gaming 15
Processor
AMD Ryzen 5 5600H
Internal memory
8GB RAM
Video card
NVIDIA GeForce RTX 3050 (Laptop)
Display
15.6”, Full HD (1920 x 1080), 144 Hz, IPS
Solid-state drive
512GB SSD
₹81869-21%
₹6499000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/hp-pavilion-gaming-15-522/
"Lenovo ThinkPad E15 Gen 2
Processor
Intel Core i5-1135G7
Internal memory
8GB RAM
Video card
Intel Iris Xe Graphics G7 (80EU)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹76915-12%
₹6799000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-thinkpad-e15-gen-2-95/
"ASUS ZenBook 13 UX333
Processor
Intel Core i7-8565U
Internal memory
8GB RAM
Video card
Intel UHD Graphics 620
Display
13.3”, Full HD (1920 x 1080), TN
Solid-state drive
512GB SSD
₹102990-35%
₹6699000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-zenbook-13-ux333-18/
"Apple MacBook Pro 13
Processor
Apple M1
Internal memory
8GB RAM
Video card
Apple M1 GPU (8-core)
Display
13.3”, WQXGA (2560 x 1600), IPS
Solid-state drive
256GB SSD
₹122900-5%
₹11699000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-13-touch-bar-late-2020-5/
"Lenovo IdeaPad S145 15
Processor
Intel Core i3-1005G1
Internal memory
8GB RAM
Video card
Intel UHD Graphics G1
Display
15.6”, Full HD (1920 x 1080), TN
Hard drive
1000GB HDD
₹42490-13%
₹3699000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-s145-15-1043/
"Lenovo Yoga S940
Processor
Intel Core i7-1065G7
Internal memory
16GB RAM
Video card
Intel Iris Plus Graphics G7
Display
14.0”, 4K UHD (3840 x 2160), IPS
Solid-state drive
1000GB SSD
₹223890-37%
₹14299000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-yoga-s940-17/
"HP 14
Processor
AMD Ryzen 3 4300U
Internal memory
8GB RAM
Video card
AMD Radeon RX Vega 5
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹53900-1%
₹5350000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/hp-14-1850/
"Lenovo ThinkBook 13s Gen 2
Processor
Intel Core i5-1135G7
Internal memory
8GB RAM
Video card
Intel Iris Xe Graphics G7 (80EU)
Display
13.3”, WQXGA (2560 x 1600), IPS
Solid-state drive
512GB SSD
₹112608-35%
₹7399000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-thinkbook-13s-148/
"ASUS TUF Gaming F15 FX506
Processor
Intel Core i5-10300H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 (Laptop)
Display
15.6”, Full HD (1920 x 1080), 144 Hz, IPS
Solid-state drive
512GB SSD
₹81990-27%
₹5999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-tuf-gaming-f15-fx506-93/
"ASUS ZenBook Duo 14 UX482
Processor
Intel Core i5-1135G7
Internal memory
16GB RAM
Video card
NVIDIA GeForce MX450
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹140990-44%
₹7999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-zenbook-duo-14-ux482-11/
"HP EliteBook 840 G6
Processor
Intel Core i5-8265U
Internal memory
8GB RAM
Video card
Intel UHD Graphics 620
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹143200-4%
₹13850000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/hp-elitebook-840-g6-229/
"Dell Inspiron 3515
Processor
AMD Ryzen 3 3250U
Internal memory
8GB RAM
Video card
AMD Radeon RX Vega 3
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
256GB SSD
₹53603-23%
₹4174900
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-inspiron-3515-9/
"Lenovo IdeaPad Gaming 3i 15
Processor
Intel Core i5-11300H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 (Laptop)
Display
15.6”, Full HD (1920 x 1080), 120 Hz, IPS
Solid-state drive
512GB SSD
₹93690-38%
₹5890000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-gaming-3i-15-7/
"ASUS TUF Gaming F17 FX706
Processor
Intel Core i5-10300H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 Ti (Laptop, 50W, 128-bit)
Display
17.3”, Full HD (1920 x 1080), 120 Hz, IPS
Solid-state drive
512GB SSD
₹79770-8%
₹7399000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-tuf-gaming-f17-fx706-20/
"ASUS ZenBook Duo UX481
Processor
Intel Core i7-10510U
Internal memory
16GB RAM
Video card
NVIDIA GeForce MX250 (10W)
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
1000GB SSD
₹146990-15%
₹12499000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-zenbook-duo-ux481-31/
"MSI GP65 Leopard 10Sx
Processor
Intel Core i7-10750H
Internal memory
32GB RAM
Video card
NVIDIA GeForce RTX 2070 (Laptop)
Display
15.6”, Full HD (1920 x 1080), 144 Hz, IPS
Hard drive
1000GB HDD
Solid-state drive
512GB SSD
₹173990-11%
₹15609000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/msi-gp65-leopard-10sx-21/
"Dell Inspiron 5518
Processor
Intel Core i5-11300H
Internal memory
8GB RAM
Video card
NVIDIA GeForce MX450
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹83490-17%
₹6989000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-inspiron-5518-6/
"Dell XPS 9300
Processor
Intel Core i5-1035G1
Internal memory
8GB RAM
Video card
Intel UHD Graphics G1
Display
13.4”, FHD+ (1920 x 1200), IPS
Solid-state drive
512GB SSD
₹154446-42%
₹8999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-xps-9300-62/
"Dell Inspiron 5410 2-in-1
Processor
Intel Core i5-1155G7
Internal memory
8GB RAM
Video card
NVIDIA GeForce MX350
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹106000-26%
₹7850000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-inspiron-5410-2-in-1-169/
"Acer Aspire 7
Processor
Intel Core i5-10300H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 (Laptop)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹85000-25%
₹6459000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/acer-aspire-7-52/
"HP Pavilion Gaming 15
Processor
AMD Ryzen 5 4600H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 (Laptop)
Display
15.6”, Full HD (1920 x 1080), IPS
Hard drive
1000GB HDD
₹68192-13%
₹5999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/hp-pavilion-gaming-15-215/
"Apple MacBook Air 13 (2020)
Processor
Intel Core i5-1030NG7
Internal memory
8GB RAM
Video card
Intel Iris Plus Graphics G7
Display
13.3”, WQXGA (2560 x 1600), IPS
Solid-state drive
512GB SSD
₹122990-19%
₹9999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/apple-macbook-air-13-2020-5/
"MSI GF65 Thin
Processor
Intel Core i7-10750H
Internal memory
16GB RAM
Video card
NVIDIA GeForce RTX 2060 (Laptop)
Display
15.6”, Full HD (1920 x 1080), 144 Hz, IPS
Solid-state drive
512GB SSD
₹102990-13%
₹8999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/msi-gf65-thin-10ser-1049fr/
"Dell Inspiron 3511
Processor
Intel Core i5-1135G7
Internal memory
16GB RAM
Video card
NVIDIA GeForce MX350
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹88400-23%
₹6886600
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-inspiron-3511-665/
"HP ENVY X360 13
Processor
AMD Ryzen 5 4500U
Internal memory
16GB RAM
Video card
AMD Radeon RX Vega 6 (R4000/5000, 15W)
Display
13.3”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹91000-2%
₹8999900
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/hp-envy-x360-13-67/
"HP 14
Processor
AMD Ryzen 7 5700U
Internal memory
8GB RAM
Video card
AMD Radeon RX Vega 8 (R4000/5000, 15W)
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹73625-18%
₹6099000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/hp-14-3588/
"Lenovo Legion 5 15
Processor
AMD Ryzen 5 5600H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 (Laptop)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹107690-31%
₹7439800
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-legion-5-15-449/
"Lenovo Yoga Slim 7i 14
Processor
Intel Core i5-1135G7
Internal memory
16GB RAM
Video card
Intel Iris Xe Graphics G7 (80EU)
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹92000-14%
₹7999900
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-yoga-slim-7i-14-5/
"Apple MacBook Pro 16
Processor
Intel Core i9-9880H
Internal memory
16GB RAM
Video card
AMD Radeon Pro 5500M (4GB GDDR6)
Display
16.0″, (3072 x 1920), IPS
Solid-state drive
1000GB SSD
₹239900-7%
₹22499000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-16-2019-87/
"Apple MacBook Pro 13 (2020)
Processor
Intel Core i5-1038NG7
Internal memory
16GB RAM
Video card
Intel Iris Plus Graphics G7
Display
13.3”, WQXGA (2560 x 1600), IPS
Solid-state drive
1000GB SSD
₹194900-6%
₹18399000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-13-2020-9/
"Apple MacBook Pro 13
Processor
Apple M1
Internal memory
8GB RAM
Video card
Apple M1 GPU (8-core)
Display
13.3”, WQXGA (2560 x 1600), IPS
Solid-state drive
256GB SSD
₹122900-4%
₹11899000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-13-touch-bar-late-2020-3/
"Lenovo Yoga Slim 7i 14
Processor
Intel Core i5-1035G1
Internal memory
8GB RAM
Video card
NVIDIA GeForce MX350
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹113290-34%
₹7499000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-yoga-slim-7i-14-3/
"Lenovo Legion Y540 15
Processor
Intel Core i5-9300HF
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 (Laptop)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹78999-3%
₹7699900
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-legion-y540-15-697/
"Dell Inspiron 3511
Processor
Intel Core i3-1115G4
Internal memory
8GB RAM
Video card
Intel UHD Graphics Xe G4 (48EU)
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
256GB SSD
₹56776-24%
₹4349000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-inspiron-3511-668/
